53,0.1
53,0.11
53,0.12
53,0.13
161,0.14
39,0.15
66,0.16
80,0.17
53,0.18
39,0.19
80,0.2
80,0.21
304,0.22
66,0.23
53,0.24
80,0.25
158,0.26
80,0.27
158,0.28
600,0.29
158,0.3
80,0.31
7,0.32
80,0.33
177,0.34
80,0.35
66,0.36
53,0.37
80,0.38
1001,0.39
79,0.4
720,0.41
53,0.42
158,0.43
80,0.44
304,0.45
1001,0.46
719,0.47
80,0.48
720,0.49
80,0.5
486,0.51
486,0.52
720,0.53
80,0.54
158,0.55
720,0.56
720,0.57
720,0.58
720,0.59
158,0.6
720,0.61
80,0.62
304,0.63
486,0.64
80,0.65
53,0.66
1001,0.67
157,0.68
158,0.69
720,0.7
304,0.71
304,0.72
720,0.73
720,0.74
16,0.75
720,0.76
53,0.77
5,0.78
486,0.79
80,0.8
1001,0.81
52,0.82
720,0.83
720,0.839999
720,0.849999
486,0.859999
1001,0.869999
79,0.879999
720,0.889999
720,0.899999
80,0.909999
1001,0.919999
1001,0.929999
719,0.939999
158,0.949999
1001,0.959999
485,0.969999
720,0.979999
486,0.989999
39,0.999999
486,1.009999
1001,1.019999
485,1.029999
486,1.039999
720,1.049999
720,1.059999
720,1.069999
720,1.079999
80,1.089999
1001,1.099999
38,1.109999
1001,1.119999
1001,1.129999
157,1.139999
304,1.149999
720,1.159999
158,1.169999
486,1.179999
1001,1.189999
485,1.199999
1001,1.209999
719,1.219999
80,1.229999
1001,1.239999
1001,1.249999
719,1.259999
486,1.269999
486,1.279999
1001,1.289999
1001,1.299999
1001,1.309999
719,1.319999
1001,1.329999
79,1.339999
720,1.349999
1001,1.359999
485,1.369999
1001,1.379999
719,1.389999
304,1.399999
1001,1.409999
38,1.419999
1001,1.429999
719,1.439999
1001,1.449999
1001,1.459999
1001,1.469999
1001,1.479999
719,1.489999
80,1.499999
486,1.509999
720,1.519999
720,1.529999
720,1.539999
1001,1.549999
485,1.559999
1001,1.569999
52,1.579999
1001,1.589999
157,1.599999
486,1.609999
1001,1.619999
719,1.629999
1001,1.639999
719,1.649999
1001,1.659999
1001,1.669999
1001,1.679999
1001,1.689999
1001,1.699999
719,1.709999
1001,1.719999
1001,1.729999
485,1.739999
304,1.749999
1001,1.759999
485,1.769999
720,1.779999
1001,1.789999
485,1.799999
1001,1.809999
1001,1.819999
719,1.829999
1001,1.839999
485,1.849999
1001,1.859999
485,1.869999
39,1.879999
1001,1.889999
1001,1.899999
485,1.909999
720,1.919999
80,1.929999
1001,1.939999
1001,1.949998
719,1.959998
486,1.969998
1001,1.979998
1001,1.989998
10,1.999998
1001,2.009999
15,2.019999
720,2.029999
1001,2.039999
719,2.049999
1001,2.059999
1001,2.069999
157,2.079998
486,2.089998
1001,2.099998
485,2.109998
1001,2.119998
719,2.129998
1001,2.139998
157,2.149998
720,2.159998
1001,2.169998
79,2.179998
486,2.189998
1001,2.199998
1001,2.209998
485,2.219998
1001,2.229998
1001,2.239998
52,2.249998
1001,2.259998
485,2.269998
1001,2.279998
1001,2.289998
1001,2.299998
719,2.309998
720,2.319998
1001,2.329998
1001,2.339998
1001,2.349998
1001,2.359998
79,2.369998
1001,2.379998
1001,2.389998
719,2.399998
1001,2.409998
1001,2.419998
52,2.429998
1001,2.439998
1001,2.449998
1001,2.459998
1001,2.469998
1001,2.479998
1001,2.489998
1001,2.499998
1001,2.509998
1001,2.519998
1001,2.529998
1001,2.539998
79,2.549998
1001,2.559998
1001,2.569998
1001,2.579998
719,2.589998
